"","x"
"86","So lovely to chat with @arianebankes about #davidjones and #InParenthesis for her article in @operamagazine @WNOtweet @IainBellMusic"
"87","Check out David Jones Black 100% Merino Wool Padded Cardigan Sweater Size L #DavidJones #Cardigan https://t.co/4yhpdJjFzC via @eBay @tumbrl"
"88","RT @carouselworld: @DavidJonesStore 2016 A/W Fashion Show Highlights 
https://t.co/7nq1lcOs65  
#davidjones https://t.co/geOnLtDU4l"
"89","Get The Beauty Look From The David Jones AW16 Show https://t.co/v6EQUVLxlT #djsaw16 #davidjones #fashion #news https://t.co/f2HUoxRVlF"
"90","It's all about Fall 16 @davidjonesstore #paulsmith #mensfashion #concept #davidjones #style https://t.co/4fXQ5yq5jm"
"91","RT https://t.co/aHvIf5iOkk KiehlsAustralia just a heads ‚¨ÜÔ∏è #perth #DavidJones  #cbd girls Ì†ΩÌ∫∑ told me nothing about product, just pointed. n‚Ä¶"
"92","@KiehlsAustralia just a heads ‚¨ÜÔ∏è #perth #DavidJones  #cbd girls Ì†ΩÌ∫∑ told me nothing about product, just pointed. no samples offered after $$"
"93","What really made Bowie a star: As a songwriter, he was unparalleled https://t.co/kYlDOpcb5Y via @Salon #Bowie #ZiggyStardust #DavidJones"
"94","@jesintacampbell looking red hot at the #DJsAW16 presentation
#davidjones #runway #modelling‚Ä¶ https://t.co/IQZRUQvzFk"
"95","@DavidJonesStore 2016 A/W Fashion Show Highlights 
https://t.co/7nq1lcOs65  
#davidjones https://t.co/geOnLtDU4l"
"96","Bout to get this haircut Ì†ΩÌ≤à"
"97","Jakes Sonders takes 5th @ Wilson Tournament #bearpride https://t.co/rQiNLQtZau"
"98","Mike Wilson takes 6th @ Wilson Tournament #bearpride https://t.co/k8SdJTycvz"
"99","David Jones: Date Night Prep for Valentine's Day https://t.co/NxfEJdUr7c | To help you get gorgeous this Valentines Day, we've pulled toge‚Ä¶"
"100","Julien Maldenado takes 3rd @ Wilson Tournament #BearPride https://t.co/DZE2P7LfkH"
"101","""I've been waiting for this cable since I was like 10""... Like who says this shitÌ†ΩÌ∏≠ @_davidjones_10"
"102","#mydonose 13.02.2016 17:10 #DavidJones #Thriller"
"103","RT @GHE7v7: A couple NFL hopefuls training with @Coach_CTaylor speak at the #GHETryouts about there #PathToTheDraft #NFA7v7 #GHE https://t.‚Ä¶"
"104","RT @jakefinch211: Actually miss Hanley? Tragic..."
"105","RT @CliveWoodward: we were not fit enough to win the last World Cup - question only Jones seems to have the bottle to ask is why ? https://‚Ä¶"
"106","RT @InsideRetailau: #DavidJones sales exceed expectations https://t.co/VJ3VxzdvUN https://t.co/VhHRHDePSN"
"107","RT @InsideRetailau: #DavidJones sales exceed expectations https://t.co/VJ3VxzdvUN https://t.co/VhHRHDePSN"
"108","#DavidJones sales exceed expectations https://t.co/VJ3VxzdvUN https://t.co/VhHRHDePSN"
"109","Valentine's Day gift shopping for mattmagill11 complete ‚úîÔ∏è Ì†ΩÌ∏Ç #davidjones #meetthemagills #love‚Ä¶ https://t.co/d79cW7InCW"
"110","RT @Wrestling_BAWA: Garrett Mauger tech falled at 132. 
Forfeit at 138. 
Boyertown: 38
Nazareth: 19
STATE FINALS!!!!!! Ì†ΩÌ∞æÌ†ΩÌ∞æÌ†ΩÌ∞æ"
"111","BOWIE - Ode to a musical hero - Ode to the artist - https://t.co/AS36trzfnA via @Etsy #blackstar #bowie #davidjones #brianeno"
"112","Thanks for the follows! xx @DavidJones_HOPI @MichaelENichols @enjoyingprayer @MatthewSardo @KentMoran @Kred @HelloCiaoStudio"
"113","David Jones: Dress up for Valentines Day https://t.co/xmb8SCdnzg | Date night or girls' night, there's a dress fo‚Ä¶ https://t.co/0hG8WJcbKb"
"114","The North Coat at the David Jones show. #davidjones #jacandjack @DavidJonesStore https://t.co/RVedWw2S7F"
"115","RT @vincestaples: So who is this nigga Pablo?"
"116","RT @kanyewest: The album is being mastered and will be out today‚Ä¶ added on a couple of tracks‚Ä¶ https://t.co/6lBxcd83N2"
"117","RT @SpiderFootball: The Spiders will visit fellow FCS Semifinalist Sam Houston State in 2017. https://t.co/KUZaZsp8lc #OneRichmond https://‚Ä¶"
"118","#GigiHadid #DavidJones #Spring #Summer 2015 #Fashion Launch in #Sydney https://t.co/p4cFTCFmyB https://t.co/RpRazWm7qb"
