"","x"
"97","RT @GadgetsReviewNG: New Facebook Tool You Should Not Ignore https://t.co/J0KqPZsvV7 #Apps #News #Facebook # https://t.co/gGjQyJEovn"
"98","When you are so #foreveralone that #Facebook wishes you a #HappyValentinesDay #HappilySingleThough https://t.co/yJPttr632c"
"99","#facebook is working on a clever ride-sharing feature for your Events page - BGR https://t.co/SNFoQhejiv"
"100","@PQ_sport regalamos un balón de Champions League #UCL Solo tienes que seguirnos en #Facebook antes del 24 febrero ¡¡Venga!!"
"101","Profit HUGE from FB TODAY! https://t.co/aRGkJzjoda #facebook #makemoney #workfromhome"
"102","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"103","RT @Cihan_Haber: #Facebook'a yeni bir özellik daha geliyor 
https://t.co/zTbdnNM3CJ https://t.co/ISZONUoApq"
"104","5 Ways #Facebook Reactions Could Make #Marketing Difficult  https://t.co/aXWL3nEI3b https://t.co/2MJjEqDsyK"
"105","Odhar #Facebook walay mar rahay hai wish kr kr k edhar aur edhar #Twitter p ������������������������ #SayNoToValentinesDay"
"106","High #pay-out for: Just using your #facebook - https://t.co/f77bFyQcmX"
"107","RT @NancyBadillo13: How to create a #Facebook #Ad? https://t.co/UuqbpBCeiY #Traffic #Website #Blog #Bloggers #Blogging #FB"
"108","RT @EntreprePro: #Facebook &amp; #SocialMediaMarketing Training at: https://t.co/14DpnGYDrf Retweet Please https://t.co/2jMwKFtiLC"
"109","Annoying Things That Make #Facebook Suck https://t.co/AO8K0NpoRf https://t.co/iwg1MrOkQH"
"110","Facebook Will Start Automatically Captioning Video Ads - via @AdAge https://t.co/dsM6IzxD7A #facebook #video #ads #SMM"
"111","Stay out of #Facebook Jail https://t.co/5IHJctB2za #onlinemarketing #marketing #networkmarketing #entrepreneur"
"112","RT @maclatunji Read What Happened When the Prime Minister of #Singapore visited #Facebook Headquarters https://t.co/CQSLL0VWOh"
"113","#follow #hyip #invest #money #like #fanpage #facebook #BTCmining #lovebitcoin #btc #news ----&gt; https://t.co/4bRRrvSRIy 1455437385"
"114","Les #échecs sur #Facebook, pourquoi ne pas y avoir pensé plus tôt ? Let's play the #game https://t.co/6te2vQFShI https://t.co/EgtUeRKzx9"
"115","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"116","MERCI Céline Lambert de nous suivre ! Retrouvez-nous aussi sur #Facebook : https://t.co/2BSRG9Pbjx #Alimentation #Santé"
"117","#Facebook'a yeni bir özellik daha geliyor 
 https://t.co/DmySmrgMUp https://t.co/88oySJ7C7P"
"118","RT @EntreprePro: #Facebook &amp; #SocialMediaMarketing Training at: https://t.co/14DpnGYDrf Retweet Please https://t.co/2jMwKFtiLC"
"119","Explore our discussions on #Facebook @omarpatino122, visit our #Fanpage on https://t.co/vhkzBqThBG https://t.co/SGSe61658z"
"120","RT @SoccerAP_: Make sure you check our #Facebook page out https://t.co/CvI2MxYSM8 for some great #competitions &amp; #prizes"
"121","#Facebook'a Yeni Bir Özellik Daha Geliyor
@merkurhaber
https://t.co/bDvJLyVHgF https://t.co/6Eri63uL3F"
"122","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"123","Corporate Flyer, #flyer #corporate #business #offering #product #technology #facebook #twitter #a4 #graphicriver https://t.co/uIG1r0j1SW …"
"124","RT @vineelreddy: Finally Apple Inc. comes to #Hyderabad after #Microsoft #Google #Facebook and more https://t.co/w8VcKd0Q95 #Apple https://…"
"125","High #pay-out for: Just using your #facebook - https://t.co/iqf0TZkp7K"
"126","High #pay-out for: Just using your #facebook - https://t.co/Gs0PDI76FW"
"127","Arabic song #romance������������������������
#socialmedia #instagram #snapchat  #Happy2016 #night #online #twitter #facebook #news 
https://t.co/lptVAfRszF"
"128","High #pay-out for: Just using your #facebook - https://t.co/JcVaDEklXU"
"129","RT @AksiSophie: Retweeted BERAKsi Radio (@BERAKsiRadio):

kunjungi page #AksiSophie di #Facebook https://t.co/1vq6nxzN2u https://t.co/qpZnJ…"
"130","#Facebook &amp; #SocialMediaMarketing Training at: https://t.co/14DpnGYDrf Retweet Please https://t.co/2jMwKFtiLC"
"131","Pagina #Facebook Segretariato Sociale Rai https://t.co/LiOkYmwmwa #Raiperilsociale #Comunicazionesociale"
"132","RT @BERAKsiRadio: kunjungi page #AksiSophie di #Facebook https://t.co/7JCFLy0WTY"
"133","Arabic song #romance������❤������������������
#socialmedia #instagram #snapchat  #Happy2016 #night #online #twitter #facebook #news 
https://t.co/lptVAfRszF"
"134","#Facebook #news changes may upset #publishers  https://t.co/HbiSRQRL4g"
"135","High #pay-out for: Just using your #facebook - https://t.co/NMjVp5qmgt"
"136","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"137","RT @NancyBadillo13: How to create a #Facebook #Ad? https://t.co/UuqbpBCeiY #Traffic #Website #Blog #Bloggers #Blogging #FB"
"138","High #pay-out for: Just using your #facebook - https://t.co/D1JJdNXNFm"
"139","Eine effektive #Facebook-Seite erstellt man nicht von heute auf morgen! https://t.co/KfCejcWsXP #facebookmarketing https://t.co/G2OyxERrGO"
"140","#Facebook'a yeni bir özellik daha geliyor 
https://t.co/zTbdnNM3CJ https://t.co/ISZONUoApq"
"141","We got A NEW #FACEBOOK PAGE! We'd love it if you LIKE IT: https://t.co/WY5ewUGj8C #deephouse #radio"
"142","RT @MDRINFO: Tillich offline: Sachsens MP ist nicht auf Twitter, jetzt sagt er auch #Facebook Adieu: https://t.co/pDBgTu1Tfs https://t.co/T…"
"143","これはすごいよ！完全自動でfacebookの友達を増加する無料ツール→しかも、いいね！まで自動設定可能！高額で売られているツールと同等です。
https://t.co/8Tm5CHXP1u
#facebook"
"144","RT @Olimba_Media: 10 Extremely Addictive Facebook Games [https://t.co/j5tGvwV7T4] #bejeweled #blitz #games #facebook #addictive https://t.c…"
"145","Site pro ou Page Facebook : que faut-il privilégier ? #site #facebook #marketing #seo https://t.co/ixcsS0CiDv https://t.co/lvC6nRbwVO"
"146","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"147","RT @MSweetwood: Hi @UsborneBooks3 @AvantCommunity @JoshOchs • 14 Power #Facebook Tips to Build Your #Brand and #Business https://t.co/ojLV4…"
"148","Facebook India’s managing director Kirthiga Reddy resigns... https://t.co/tJWcwUqzOb
 #Facebook #India #director #Kirthiga #Reddy"
"149","#Canada #News #PRUDISH
showed #painting in
#Lawsuit #against #FaceBook
#hidden by #phone

@EzraLevant #canpoli #news https://t.co/YcnVUS2Lik"
"150","Les parents numériques : #Facebook IQ et Ipsos livrent leurs premiers #insights 
 https://t.co/cqm82KhWFs https://t.co/UmLlbzkiM1"
"151","#onehundredpercentviolence is on #facebook too #mixedmartialarts #murdermachine #marketing #mma… https://t.co/mdqWGsHGXs"
"152","RT @WorkForWildlife: Show your support for #Rhinos &amp; download your #rhino #Facebook &amp; #Twitter profile pics https://t.co/prmaGu9R3J https:/…"
"153","Selling #Beats On #Facebook Is Easy If You Follow These Steps.. https://t.co/AQ1kxabbes https://t.co/IbIFSW9B3O"
"154","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"155","RT @vnorrland: #RT #Follow #Like
#Carlos_Wilde on  https://t.co/0q7bKLgrS8
#indie #music #facebook @vladavlada9722"
"156","High #pay-out for: Just using your #facebook - https://t.co/POyaPwZRw5"
"157","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"158","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"159","High #pay-out for: Just using your #facebook - https://t.co/ERSKbCwfOf"
"160","What Facebook's policy on nudity means - The Oshkosh Northwestern https://t.co/CI83XHGywS #facebook"
"161","Do you ever stop and wonder why you have a friend named ""Harry Fruit-Eating Bat"" on Facebook? #Facebook #friends #conundrum"
"162","Like je RauwCC al op #Facebook? https://t.co/AY4cI3ee6C #socialmedia #RauwPromo"
"163","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"164","High #pay-out for: Just using your #facebook - https://t.co/XaPJ6x8Or4"
"165","How to Use #Facebook Strategy for Event Planning https://t.co/aEAYj2d4pH https://t.co/PqHab9kT1J"
"166","RT @MSweetwood: Hi @UsborneBooks3 @AvantCommunity @JoshOchs • 14 Power #Facebook Tips to Build Your #Brand and #Business https://t.co/ojLV4…"
"167","Sign Up to #SocialOomph here https://t.co/LtAO19uxVw schedule your posts on #twitter #facebook #linkedin great #socialmedia tool"
"168","My group is up on #Facebook for ANY #femalemusicians, called Girls Rock! (Female Musicians). Please join, #retweet, &amp; tell ur friends! ☺"
"169","If you like #Facebook you'll #love this #incredible and #cool #banner https://t.co/oZ85QkQSlu"
"170","Which do you check 1.2.3.4.. in the morn first thing #email #Twitter #Facebook #snapchat #news @dalynewspaper @WWhimsicals @MickLynham"
"171","High #pay-out for: Just using your #facebook - https://t.co/8Tzl0cMfJS"
"172","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"173","#Facebook is removing business pages for medical #marijuana #dispensaries
 https://t.co/EEMzg87hfi … #MME https://t.co/6HvPrvbEPZ"
"174","RT @GoogleExpertUK: What your Facebook Likes say about You! https://t.co/I7S0lzUyyR #Facebook #psychology #socialmedia https://t.co/sZmdk7T…"
"175","Are you following us on Facebook? #Business #Entrepreneur #B2B #Facebook #SocialMedia https://t.co/w4IM1Jv3T1"
"176","Effective promos on #Facebook via https://t.co/00pat8vpIT this should help you and all your followers so please retweet it"
"177","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"178","RT @konradweber: Jetzt machts endlich Sinn: Wie das #Facebook-Logo entstanden ist: https://t.co/m4T8H2GD7w"
"179","#Facebook’s Mobile Ad Revenue Reaches $13 Billion And Shows No Signs Of Stopping. https://t.co/bcuKOBbc22 https://t.co/sCDPKB5N0T"
"180","RT @MSweetwood: Hi @UsborneBooks3 @AvantCommunity @JoshOchs • 14 Power #Facebook Tips to Build Your #Brand and #Business https://t.co/ojLV4…"
"181","High #pay-out for: Just using your #facebook - https://t.co/gbvkCUQY5m"
"182","If you #love #Facebook &amp; #passionate about #RealestateMarketing then...
������ Discover #Awesome #LifeChanging... https://t.co/pML4jr1h5x"
"183","It's essential that you get people to check into your store &gt;&gt; https://t.co/J6AGMcY1lo #marketing #content #facebook https://t.co/PYHscH1FGL"
"184","Be sure to drop me a like over on #Facebook, I don't have many likes hoping to rack that number up! https://t.co/t4XYz1t5U5"
"185","RT @usairforce: Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmF…"
"186","Don't miss out on great content &amp; discussions on the #AirForce #Facebook page at https://t.co/O0OY9b5WvU https://t.co/egVmFW09fi"
"187","#SanValentino e l'amore, secondo #Facebook: https://t.co/8JmjCcQ65W https://t.co/qV2gF2Lavw"
"188","Here's how advertising is changing https://t.co/uJRc1lcv4d #Ads #Adverts #Media #TMT #CPC #TV #online #Facebook https://t.co/AWizy2130P"
"189","High #pay-out for: Just using your #facebook - https://t.co/M0Q774xPcs"
"190","RT @NewMediaFF: on all the major #socialnetworking platforms � Check us out! https://t.co/DcBM5vUR29 #Facebook #Twitter #Tumblr #Pinterest …"
"191","Être accueillie comme ça sur #Facebook #FB... #Dur https://t.co/vSaN2gRadV"
"192","High #pay-out for: Just using your #facebook - https://t.co/0blNs4vmUz"
"193","@JCVD @JCVD https://t.co/H70fTywhmV Happy Valentine Jean-Claude. hope https://t.co/TLPFw4oaFu we can share pics about our #dogs on #Facebook"
"194","#Facebook is killing the web and other jobs related to #website #architecture, #design... Don't put all your... https://t.co/yOSaxP9qbf"
"195","RT @PlaiFhaa: ไหนๆวาเลนไทน์ ไร้สาระ������������������������ #โสดแล้วพาล #Facebook ของมิตรสหายท่านหนึ่ง https://t.co/tGbnkmMqnV"
"196","RT @GoogleExpertUK: What your Facebook Likes say about You! https://t.co/I7S0lzUyyR #Facebook #psychology #socialmedia https://t.co/sZmdk7T…"
"197","RT @NewMediaFF: on all the major #socialnetworking platforms � Check us out! https://t.co/DcBM5vUR29 #Facebook #Twitter #Tumblr #Pinterest …"
"198","RT @TimMaher1: Which do you check 1st 2nd 3rd 4th.... in the morning.#email #Twitter #Facebook #snapchat #news.. tells a lot of type of per…"
"199","RT @PlaiFhaa: ไหนๆวาเลนไทน์ ไร้สาระ������������������������ #โสดแล้วพาล #Facebook ของมิตรสหายท่านหนึ่ง https://t.co/tGbnkmMqnV"
"200","RT @MSweetwood: Hi @UsborneBooks3 @AvantCommunity @JoshOchs • 14 Power #Facebook Tips to Build Your #Brand and #Business https://t.co/ojLV4…"
"201","High #pay-out for: Just using your #facebook - https://t.co/jYYEekSI4a"
"202","RT @LJCruzPro: Tired Of Chasing Friends? Learn How To Generate Leads on #Facebook For YOUR Biz! https://t.co/SaCANzrZOC #MLM #WAHM https://…"
"203","RT @LifeCoachLJ: Tired Of Chasing Friends? Learn How To Generate Leads on #Facebook For YOUR Biz! https://t.co/aE4BhGXVxh #MLM #WAHM https:…"
"204","RT @xavier_alberti: #Instagram nous donne l'illusion d'être photographe, #Twitter d'être écrivain, #Wikipédia d'être instruit et #Facebook …"
"205","Love #filtered messages on #Facebook https://t.co/nX9IIad4Q6"
"206","High #pay-out for: Just using your #facebook - https://t.co/wwKhXtptbZ"
"207","High #pay-out for: Just using your #facebook - https://t.co/G2sG40NS2t"
"208","#retweet this #trending #facebook group !! https://t.co/tkhGxxyB1e"
"209","RT @Darrin_Bentley: How to Build YOUR Tribe. https://t.co/AGcutxEaKH w Kim Garst #socialmedia #marketing #leadership #influence #smm #faceb…"
"210","Os videos e fotos mais engraçadas da internet em um só lugar! #facebook https://t.co/OEWVRA2RNT"
"211","RT @GoogleExpertUK: What your Facebook Likes say about You! https://t.co/I7S0lzUyyR #Facebook #psychology #socialmedia https://t.co/sZmdk7T…"
"212","High #pay-out for: Just using your #facebook - https://t.co/YOUPIvttgb"
"213","RT creativesoftbd GoogleExpertUK: What your Facebook Likes say about You! https://t.co/zQ5gxtetyI #Facebook #psyc… https://t.co/Bm6Qp53Z5g"
"214","RT LorenaFdezMarin Teens have a smart reason for abandoning #Facebook and #Twitter https://t.co/fWTU8ogXcg vía qz #socialmedia #trends #te…"
"215","High #pay-out for: Just using your #facebook - https://t.co/H7x8YcdIYU"
"216","RT @GoogleExpertUK: What your Facebook Likes say about You! https://t.co/I7S0lzUyyR #Facebook #psychology #socialmedia https://t.co/sZmdk7T…"
"217","RT robetkh: RT OutdoorsRock: Like our Facebook page as well =&gt; https://t.co/BL7LmPxa2n #Facebook #likesforlikes #followback #outdoors #cam…"
"218","#retweet this #trending #facebook group !! https://t.co/QjFa3MbJ6N"
